timeindex,AT-hydro-phs,AT-hydro-reservoir,AT-lithium-battery,BE-hydro-phs,BE-hydro-reservoir,BE-lithium-battery,CH-hydro-phs,CH-hydro-reservoir,CH-lithium-battery,CZ-hydro-phs,CZ-hydro-reservoir,CZ-lithium-battery,DE-flex-decentral_heat-tes,DE-hydro-phs,DE-hydro-reservoir,DE-lithium-battery,DK-lithium-battery,FR-hydro-phs,FR-hydro-reservoir,FR-lithium-battery,LU-hydro-phs,LU-hydro-reservoir,LU-lithium-battery,NL-lithium-battery,NO-hydro-phs,NO-hydro-reservoir,PL-hydro-phs,PL-lithium-battery,SE-hydro-reservoir,SE-lithium-battery
2030-01-01 10:00:00,181549.249033,2265539.27138,370.283560762,4600.0,48172.0645827,680.97315,404182.665606,5236039.07682,577.02645,4637.64481654,1530.98187854,4114.01065605,27687.3100921,58749.6,61156.841383,30854.5556304,1354.60597406,82500.0,6326009.68096,7335.9,4104.0,744241.141722,154.035134098,2018.71073538,350018.312,101850459.022,6891.68622663,7286.08692119,53033880.3524,5276.75745098
2030-01-01 11:00:00,181559.387577,2266886.22177,443.603555381,4600.0,48224.3440536,680.97315,404182.665606,5237943.13396,577.02645,5000.0,1571.10438548,4860.18056519,29714.076212,58749.6,61943.9830102,33569.25,1601.45687863,82500.0,6330472.35358,7335.9,4104.0,744322.405687,184.535692049,2018.71073538,350018.312,101831146.607,7350.46129873,8660.50443267,53026408.9272,5104.41592073
2030-01-01 12:00:00,181559.387577,2268232.49238,516.92355,4600.0,48276.6328912,680.97315,404182.665606,5239845.79196,577.02645,5000.0,1611.22444285,5260.67685,32001.5808535,58749.6,62730.7298589,33569.25,1866.15,82500.0,6336754.37568,7335.9,4104.0,744403.684213,215.03625,2018.71073538,350018.312,101811695.167,7350.46129873,8768.90520072,53017398.112,6081.01792549
2030-01-01 13:00:00,181559.387577,2269578.08053,516.92355,4600.0,48328.9314205,680.97315,404182.665606,5241747.04401,577.02645,5000.0,1651.34201038,5260.67685,34273.5804129,58749.6,63517.0794513,33569.25,1866.15,82500.0,6343031.17917,7335.9,4104.0,744484.977803,215.03625,2018.71073538,350018.312,101783204.466,7350.46129873,8768.90520072,53009095.9826,5908.67639524
2030-01-01 14:00:00,181559.387577,2270922.98356,516.92355,4600.0,48381.2399763,680.97315,404182.665606,5243646.88373,577.02645,5000.0,1691.4570584,5260.67685,34273.5804129,58749.6,64303.0290587,33569.25,1866.15,82500.0,6348430.33086,7335.9,4104.0,744566.286978,215.03625,2018.71073538,350018.312,101763265.908,7350.46129873,8768.90520072,52997801.1723,6885.2784
2030-01-01 15:00:00,181559.387577,2272267.19888,516.92355,4600.0,48433.5589031,680.97315,404182.665606,5245545.30518,577.02645,5000.0,1731.56956785,5260.67685,34273.5804129,58749.6,65088.5757026,33569.25,1866.15,82500.0,6348627.801,7335.9,4104.0,744647.612274,215.03625,2018.71073538,350018.312,101742875.484,7350.46129873,8768.90520072,52987774.8221,6885.2784
2030-01-01 16:00:00,181559.387577,2273610.72393,516.92355,4600.0,48485.8885554,680.97315,404182.665606,5246354.55864,577.02645,5000.0,1771.67953028,5260.67685,34273.5804129,58749.6,65873.7161538,33569.25,1866.15,82500.0,6346691.715,7335.9,4104.0,744728.954242,215.03625,2018.71073538,350018.312,101714411.62,7350.46129873,8768.90520072,52976475.5381,6885.2784
2030-01-01 17:00:00,181559.387577,2274953.55618,516.92355,4600.0,48538.2292975,680.97315,404182.665606,5244883.59551,577.02645,5000.0,1761.78694784,5260.67685,34273.5804129,58749.6,65662.5469331,33569.25,1866.15,82500.0,6344750.25356,7335.9,4104.0,744810.313449,215.03625,2018.71073538,350018.312,101693646.136,7350.46129873,8768.90520072,52965174.1154,5913.57472347
2030-01-01 18:00:00,181559.387577,2276295.69317,516.92355,4600.0,48590.5815032,680.97315,404182.665606,5245256.623,577.02645,5000.0,1751.89183329,5260.67685,34273.5804129,58749.6,65813.4674463,33569.25,1866.15,82500.0,6342803.37668,7335.9,4104.0,744891.690474,215.03625,2018.71073538,350018.312,101673057.561,7350.46129873,8768.90520072,52953870.6021,4764.63118845
2030-01-01 19:00:00,181559.387577,2277637.13246,516.92355,4600.0,48642.9455566,680.97315,404182.665606,5247149.32125,577.02645,5000.0,1791.99420998,5260.67685,34273.5804129,58749.6,66597.3674421,33569.25,1866.15,82500.0,6340851.04401,7335.9,4104.0,744973.085916,215.03625,2018.71073538,350018.312,101644689.404,7350.46129873,8768.90520072,52942565.0326,3615.68765344
